stage,Epithelial_cell__Brain_,Hepatocyte,Neural_cell,Osteoblast,Retinal_cell
72hpf,3.21,0,2.14,1.07,0
21Day,2.68,0,2.68,0,1.34
22Month,0,1.64,0,0,0
