stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,0,0,9.63,2.14,0,0,0,0,0,0,0,1.07,0,0,6.42,0,0,0,1.07,3.21,1.07,0,2.14,0,0
21Day,33.46,0,5.35,2.68,0,0,0,0,0,0,1.34,0,0,2.68,1.34,8.03,0,0,0,5.35,1.34,5.35,0,0,0,0
3Month,35.19,0,1.28,0,0,0,0.32,0.32,2.24,0.32,0,0.32,0,0,0,2.24,0.32,0.32,0.32,0.32,0,0.64,2.24,0,0.64,0.32
22Month,0,0,2.19,0,0,0.55,0.55,0,18.59,0.55,0,3.83,0,0.55,1.09,1.64,0.55,0.55,0.55,0.55,0,0,44.28,0,0.55,0
