stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,38.82,0,0,0,0,4.02
3Month,0.96,0,2.88,0,0.64,1.92,0,4.48,0.64,0.96,0.32,0.64,0.32,2.24,1.92,0.32,0.96,1.28,0.32,0,112.3,0.64,0.32,0.64,0.96,66.23
22Month,0,0.55,1.09,0,0,2.19,0.55,18.04,1.09,0,3.28,0,0,4.37,1.09,0,0,0,0.55,0,113.16,0,0,0.55,0,51.39
