stage,Granulocyte,Hepatocyte,Keratinocyte,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
21Day,0,0,0,1.34,0
3Month,0,0,0.32,0,0.32
22Month,0.55,0.55,0,0,0
