stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,0,28.6,0,8.17,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,11.77,2.14,1.07,0,0,0,0,0,0,0,0,2.14,4.28,0,27.81,0,0,0,106.98,58.84,1.07,18.19,0,0,29.95,1.07,0,1.07,0,0
21Day,21.42,1.34,1.34,6.69,0,6.69,0,0,0,1.34,0,0,12.05,2.68,0,2.68,0,60.23,0,0,8.03,56.22,17.4,5.35,6.69,2.68,0,13.39,2.68,1.34,1.34,0,2.68
3Month,0.32,1.6,0.32,4.16,0,0,0.32,0.64,0.64,0,4.48,0.96,0,1.92,0,2.24,0.96,8.64,2.56,0,0.96,0,0,1.6,0.64,0.32,0.32,0.32,0,0,0,0.96,1.28
22Month,0,3.83,0,1.64,0,0,0,0.55,1.09,1.09,13.67,0.55,0,1.09,0,1.09,0.55,2.73,1.64,0.55,0,0,0,0.55,0.55,0,0.55,1.09,0,0,0.55,0,1.64
