stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,1.07
21Day,0,6.69,2.68,1.34,1.34,1.34,0,4.02,1.34,0,1.34,2.68,0,1.34,1.34,1.34,0,0,0
22Month,0.55,0.55,0,0,0,9.84,0.55,0,0.55,0,0,0.55,0.55,0,0,0,0.55,0.55,0
