stage,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,1.07,2.14,3.21,0,2.14,0,0,0,0
21Day,4.02,1.34,0,1.34,1.34,1.34,0,4.02,0,1.34,1.34,2.68,2.68,0,1.34,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.96
