stage,Epithelial_cell,Hepatocyte,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,1.07,1.07,0
3Month,0,0,0,0.96,2.24
22Month,0.55,0.55,0,0,0
