stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,32.69,0,0,4.09,0,0,0,0,0,0,0,8.17,8.17,20.43,0,8.17,224.75,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,11.77,3.21,2.14,0,0,2.14,0,0,1.07,0,3.21,7.49,0,16.05,1.07,26.74,28.88,2.14,0,22.47,0,0,4.28,0,0,1.07,0,0
21Day,1.34,1.34,6.69,1.34,0,0,0,1.34,0,0,2.68,0,0,6.69,2.68,5.35,5.35,1.34,5.35,0,1.34,5.35,0,8.03,0,1.34,1.34,0,1.34,1.34
3Month,0,0,0.96,0,0,0,0,0.32,0.64,0.32,0,0.64,0,0.96,0.64,0.96,0,0,0,0,0,0,0.32,24.96,0,0,0,0,16,0
22Month,0,0.55,1.09,0,0,0,0.55,0,2.73,0,0,0.55,0,0.55,0,2.73,0,0,0,0,0,0.55,0,2.19,0,0,0,0,0,0
