stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,2.14,1.07,2.14,0,0,0,0,0,0,0,0,4.28,34.23,9.63,7.49,0,0,0,0,16.05,21.4,0,5.35,0,0,4.28,0,2.14,0,0,0
21Day,0,0,0,14.72,0,0,0,0,2.68,0,0,0,1.34,0,2.68,9.37,84.33,2.68,0,0,0,0,1.34,2.68,0,1.34,4.02,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,10.88,0,0,0.64,1.6,27.2,0,2.88,1.6,1.28,1.6,1.6,0.64,114.22,0.96,0.32,0,0.32,1.28,0,0,0,0,1.92,2.24,0,0,0,0.32,0.32,0.64
22Month,0,1.09,0.55,5.47,0,0,0,0,61.77,1.09,15.31,2.19,2.19,2.19,0,0.55,378.83,2.73,0,1.09,0,0,1.64,0,0.55,0,1.09,0,0,0.55,0,0,0,0
