stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,5.35,0,0,2.68,0,0,0,32.12,1.34,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,0.64,4.8,0.32,0,1.6,176.93,2.56,35.83,0.96,3.2,0.32,2.24,37.11,2.88,0.64,0.32,0.64,0,0,0,0.64,0.96,0.32,2.24,0,0,0.64,0.64,0.64
22Month,0,1.64,0.55,0,0,0.55,195.16,7.65,4.92,0,0.55,0,0,7.65,2.73,0,0.55,0,0,0,0.55,0,0,0,2.73,0.55,0,0,0,0.55
