stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,2.68,1.34,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,0,8.03,9.37,0
3Month,0.32,2.24,0.64,0,0.32,0.32,0,1.6,0.32,0.64,0.32,0.32,0.96,0.32,0.32,0,0,0.32,0,0.32,0,0,15.36
22Month,0.55,0,0,0,0.55,0.55,1.64,9.84,0,1.64,0,0.55,0,0,0,0,0.55,0,0.55,0.55,7.11,0,0.55
