stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,12.26,0,0,8.17,0,0,0,0,0
72hpf,6.42,0,3.21,1.07,2.14,0,0,0,0,0,0,0,2.14,5.35,0,1.07,0,0,0,0,246.05,3.21,0,1.07,4.28,0,0,1.07,0,0
21Day,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.19,2.68,0,0,2.68,1.34,1.34,0,0,1.34
3Month,0,0.32,8,0.32,0,0,0.64,2.24,9.6,0.96,0.64,2.88,1.6,2.24,2.56,1.28,0.32,0,0.32,0.32,1.6,0,1.6,1.6,0.64,0.64,14.4,0,3.84,1.6
22Month,1.09,0.55,3.83,0,0,0.55,1.64,5.47,47.01,2.19,0,6.01,0,0.55,1.64,3.83,0,1.09,0.55,0,2.19,0,2.19,4.92,0,0,9.84,0.55,0,0.55
