stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,4.09,0,0,8.17,0,0,0,0,8.17,20.43,0,16.35,114.42,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,10.7,4.28,1.07,2.14,0
21Day,4.02,0,1.34,8.03,6.69,1.34,2.68,0,2.68,12.05,1.34,20.08,10.71,2.68,1.34,1.34
22Month,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0
