stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,6.69,4.02,0,1.34,0,1.34,0,0,0,0,0,0,4.02,4.02,0,0,0,0,0,0,2.68,0,2.68,1.34,0,0,0,0,0,0
3Month,0,0.64,4.8,0,0,0.32,0.96,4.8,0,8.32,9.92,0.32,1.28,0,2.24,2.88,0.96,0.32,0,0.64,0.32,0,0,0.64,0,1.28,2.88,0,0,0.64,5.76,1.92
22Month,0.55,0,3.28,0,1.64,0,0.55,5.47,1.64,33.89,2.73,1.09,3.28,0.55,1.09,4.37,1.64,0,1.09,1.09,0.55,0,0,0.55,0,0.55,0,0.55,0.55,0,0,0
