stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,20.43,0,81.73,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,24.52,44.95,143.02,0,0,0,0,57.21,1127.85,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0
72hpf,24.61,8.56,0,34.23,4.28,18.19,0,2.14,0,0,0,0,0,0,0,4.28,0,29.95,110.19,12.84,58.84,0,8.56,1.07,0,491.03,192.56,5.35,4.28,0,43.86,2.14,1.07,37.44,6.42,3.21,4.28,0,0,0
21Day,24.09,5.35,10.71,145.9,4.02,76.3,0,41.49,0,0,4.02,4.02,0,16.06,0,40.16,45.51,21.42,60.23,32.12,87,0,1.34,12.05,5.35,165.98,70.94,9.37,4.02,0,29.45,28.11,10.71,14.72,0,2.68,9.37,0,1.34,13.39
3Month,8.64,30.08,32.63,550.95,4.48,0,8.96,8,2.88,185.57,97.9,1.92,0,1140.62,145.9,16.96,687.57,57.59,141.74,184.29,179.49,40.95,1.6,116.46,60.15,35.19,7.04,62.07,27.52,0,7.68,30.08,649.5,10.24,0.96,0,3.52,46.71,408.9,133.42
22Month,2.19,57.95,64.51,273.33,2.19,0,19.13,2.73,1.09,120.81,184.77,52.48,0,1603.34,71.61,49.2,905.81,15.85,53.03,307.22,196.25,6.01,48.65,49.75,4.37,23.51,6.01,59.04,49.2,7.65,4.37,5.47,267.86,19.13,9.29,0,3.83,9.29,2.73,48.11
