stage,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,8.17,8.17,0
72hpf,0,0,0,0,0,1.07,1.07
21Day,1.34,1.34,2.68,1.34,1.34,0,0
