stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,2.24,0,0.32,0.32,1.28,0,1.6,0.32,0,1.28,6.4,0.96,0.96,1.28,0,0,121.9,0,0,0,0,0,0,1.92,0,0,0,0.32,0.64
22Month,6.56,1.64,7.65,0,0,1.09,8.2,5.47,50.84,5.47,0.55,4.37,0,1.64,1.09,5.47,2.73,1.64,1.09,0,0,0.55,0.55,523.15,0.55,0,1.64,1.09,0.55,0,1.09
