stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,12.26,0,0,0,0,0,49.04,0,0,0,12.26,16.35,8.17,20.43,0,0,8.17,163.46,8.17,0,0,0,0,4.09,0,0
72hpf,1.07,0,1.07,1.07,3.21,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,12.84,18.19,2.14,0,0,1.07,0,1.07,0,0
21Day,1.34,0,5.35,0,38.82,13.39,0,0,0,1.34,0,0,0,1.34,2.68,0,0,1.34,5.35,16.06,0,5.35,0,0,1.34,1.34,0,1.34
3Month,0,0,0.64,0,0,0,0.32,0.32,0,22.4,0.32,1.6,0.32,0.32,0.32,1.28,0,0,0,0.64,0,1.28,4.48,0,0,0,0.64,0.64
22Month,0,0,0.55,0,0,0,0,1.09,0,10.93,0,2.73,0.55,0,0,0,0.55,0.55,0.55,0,0,0,1.09,0,0,0,0,0
