stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,6.42,0,21.4,3.21,0,0,3.21,0,0,1.07,0,0,0,2.14,0,2.14,17.12,3.21,43.86,0,0,8.56,0,8.56,13.91,0,26.74,0,0,4.28,0,0,1.07,0,0,0
21Day,2.68,0,0,41.49,1.34,2.68,0,1.34,0,0,6.69,0,0,0,22.76,0,2.68,8.03,8.03,46.85,0,0,8.03,0,5.35,1.34,0,21.42,4.02,0,1.34,0,1.34,0,1.34,0,10.71
3Month,0,6.08,0.64,66.23,0.32,0,0.64,0.96,0.64,2.24,26.56,0,11.84,11.84,0.64,2.56,2.56,26.88,21.12,18.24,8.32,0,1.6,1.28,0.64,0.32,0.32,0.96,0.96,2.88,0,0.32,0,0,6.4,2.88,11.2
22Month,0.55,7.65,0.55,17.49,0,0,1.64,1.64,0,1.09,46.47,26.79,34.44,16.4,4.92,2.73,0,7.65,30.07,27.33,2.19,1.64,0,0,0.55,0,0.55,0.55,0.55,0.55,0.55,0.55,0,0.55,3.28,0,9.29
