stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1221.83,8.17,0,32.69,0,0,0,0,0,0,0,0,0,0,0,16.35,16.35,110.33,0,4.09,0,24.52,44.95,604.79,0,0,0,12.26,0,0,0,0,0,8.17,0,0,0
72hpf,1521.24,2.14,0,2.14,4.28,3.21,0,0,0,0,0,0,0,0,3.21,8.56,0,36.37,0,4.28,50.28,0,36.37,60.98,0,0,0,20.33,0,0,9.63,0,2.14,2.14,0,0,0
21Day,528.72,2.68,0,14.72,0,6.69,0,0,0,1.34,2.68,0,1.34,0,0,2.68,0,17.4,0,0,263.69,0,16.06,9.37,0,0,0,20.08,4.02,0,1.34,2.68,4.02,0,0,0,1.34
3Month,132.46,0.96,0,8.32,0,0,0.32,0.32,1.6,1.28,13.12,2.88,0.96,2.24,0.64,0.96,2.24,4.8,0.32,0,57.27,1.92,0,0,0,0.64,0,0,0.96,16,0.64,0,0,0,1.28,7.04,1.28
22Month,26.79,1.64,1.09,16.95,0,0,0.55,0,0.55,12.03,64.51,2.19,1.09,6.01,0.55,3.28,7.65,4.92,1.09,2.19,36.08,2.19,1.64,0.55,0.55,0,0.55,0.55,0.55,11.48,18.59,0,0,0,0,0,0
