stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,4.28,10.7,0,4.28,21.4,35.3,9.63,0,0,0,0,0,0,11.77,34.23,2.14,880.44,2.14,1.07,156.19,72.75,0,0,31.02,0,0,21.4,14.98,1.07,3.21,0,0
21Day,26.77,2.68,2.68,104.41,1.34,56.22,8.03,4.02,0,13.39,1.34,22.76,20.08,6.69,52.2,9.37,613.05,2.68,13.39,129.84,89.68,2.68,2.68,30.79,30.79,1.34,6.69,2.68,17.4,4.02,1.34,14.72
22Month,0,0.55,0,0.55,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0
