stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,12.26,0,44.95
72hpf,0,0,1.07,1.07,1.07,1.07
21Day,0,1.34,0,1.34,1.34,1.34
