stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,53.12,8.17,4.09,44.95,0,0,0,0,0,130.76,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,2.14,64.19,0,0,0,0,0,0,0,0,0,0,3.21,10.7,0,3.21,0,0,0,0,20.33,10.7,0,0,4.28,1.07,1.07,0,0,0,0,0,0
21Day,18.74,1.34,0,10.71,38.82,1.34,0,1.34,0,0,0,2.68,1.34,1.34,0,0,9.37,1.34,8.03,0,0,2.68,0,17.4,5.35,0,0,4.02,12.05,0,1.34,6.69,1.34,0,0,2.68
3Month,0.64,1.92,0.32,13.76,15.68,0,0.96,0.64,0.64,0.96,0,24,3.2,0.96,12.48,1.6,6.72,7.04,8.32,2.88,0,1.92,1.6,0.64,0,1.6,0.64,0,1.28,18.88,0,0,0,2.88,1.92,1.6
22Month,0,1.64,1.09,14.76,14.76,0,1.64,1.09,1.64,8.2,2.73,144.32,2.73,1.64,15.31,3.28,3.83,5.47,10.39,0.55,8.2,1.09,0.55,1.64,0,4.37,0.55,0.55,1.64,15.31,5.47,0,0,0,0,1.64
