stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3955.64,12.26,0,106.25,0,0,0,0,53.12,0,0,0,0,12.26,232.93,12.26,118.51,0,0,0,4.09,12.26,314.65,4.09,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1250.59,0,0,27.81,13.91,5.35,0,0,0,0,0,0,0,10.7,181.86,0,12.84,0,5.35,0,0,125.17,54.56,2.14,4.28,24.61,7.49,0,10.7,2.14,2.14,0,0,0,0
21Day,1096.26,1.34,0,135.19,6.69,13.39,5.35,1.34,0,5.35,0,30.79,0,0,89.68,5.35,37.48,0,0,6.69,0,26.77,22.76,0,1.34,8.03,18.74,4.02,1.34,2.68,10.71,1.34,0,0,2.68
3Month,12.16,0,0.32,16.96,0.64,0,0,0.32,0,4.48,2.56,0.32,1.92,0.64,15.36,0.96,1.6,0.32,0,0,0.32,1.6,0.64,0,0.32,0.32,0.64,27.2,0,0,0,0,1.28,4.8,0.64
22Month,1.64,1.64,0,8.2,1.64,0,0,1.64,0,12.57,0,0.55,3.28,0.55,3.83,4.37,2.19,0,0,1.64,0,0,0,0.55,0.55,0,0,10.93,0,0.55,0,0,0,0.55,0
