stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,2.14,5.35,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,50.28,2.14,0,2.14,0,1.07,0,0,0,0
21Day,0,2.68,5.35,0,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,5.35,14.72,0,0,2.68,0,0,1.34,0,0,0
3Month,0,4.8,1.92,0,0.32,0.32,0,0,2.56,0.32,0,1.92,0.32,3.2,0.32,0,0,1.92,0.64,0,0,0,0.96,0,0,7.04,0.32,0
22Month,1.09,30.07,7.65,0.55,0,0,0.55,0.55,10.39,1.09,0.55,1.09,0.55,1.09,0.55,0,0.55,0.55,0.55,0,1.09,0.55,0,0.55,0,5.47,0,0.55
