stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,3.21,0,6.42,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,14.72,2.68,5.35,0,9.37,0,1.34,1.34
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0.32,0,0.32,0,0
22Month,0,0,0,0,0.55,1.09,0,0,0.55,0,0,0,0.55,0,0,0,0
