stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,8.17,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,8.17,408.64,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,19.26,4.28,8.56,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,2.14,0,0,0,0,9.63,52.42,0,0,9.63,0,0,8.56,0,1.07,0,0,0
21Day,10.71,0,8.03,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,2.68,0,0,0,0,4.02,6.69,0,1.34,2.68,1.34,0,5.35,0,0,0,0,4.02
3Month,0,8.32,20.16,0.96,0,0,0.32,0.32,2.88,5.76,1.6,0.32,1.6,0,2.24,2.24,2.56,0.32,0,0.32,0.32,0.64,1.28,0.32,0,0,0,0.64,0,0.32,0,0.96,0.32,13.12
22Month,0,20.77,7.11,0.55,0,0.55,0,0,2.19,21.87,0,1.09,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0.55,0.55,0,0,0,2.19,0.55,1.09,0,0,0,2.19
