stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neurosecretory_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,2.14,0,0,0,2.14,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34
3Month,1.28,0,0,0.64,0.64,0,15.04,0.32,0,0,0.32,0.32
22Month,0,0,0.55,0,1.09,0,0,0,0,0,0,0.55
