stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,257.44,347.34,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,28.88,3.21,0,14.98,3.21,22.47,1.07,0,1.07,0,0,0,0,3.21,42.79,6.42,33.16,0,0,3316.35,184,9.63,33.16,51.35,1.07,2.14,19.26,2.14,1.07,1.07,0,0
21Day,5.35,0,1.34,33.46,0,13.39,5.35,1.34,0,1.34,0,0,1.34,0,2.68,5.35,13.39,4.02,0,507.3,28.11,8.03,16.06,13.39,17.4,1.34,5.35,2.68,0,1.34,0,4.02
3Month,0,0,0.32,10.24,0,0,0,2.24,0,2.24,0.96,0,0.96,0.32,0.96,1.6,1.6,0.32,0.96,33.59,0.64,19.52,0.96,0,0.32,9.92,0.64,0,0,0,2.24,2.56
22Month,0,0.55,0,3.28,0.55,0,0,0,1.09,12.03,1.09,1.09,0.55,0,0,2.19,2.73,0.55,0,13.12,0,19.13,3.28,0,0,27.88,0,0,0,0,0,7.65
