stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,24.52,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,9.63,2.14,0,0,0,0,0
21Day,0,6.69,1.34,2.68,0,1.34,0,1.34,0,0,1.34,1.34,0,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,5.12,0,0,0,0,0.64,1.28,0,19.52,4.16,3.84,0.96,2.56,2.24,0.32,0.64,0.64,0.32,0.32,0,0.64,0.32,0.96,0.32,0.64
22Month,0,1.09,0,0,0.55,0.55,1.09,4.37,0.55,43.19,1.09,14.21,0,1.09,2.19,1.09,0,0.55,0,0.55,0,0,0,0,0,0.55
