stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,12.26,0,0,0,0,0,0,0,4.09,4.09,12.26,0,28.6,73.56,0,0,0,0,4.09,0,0,0,0,0
72hpf,4.28,2.14,1.07,1.07,1.07,0,0,0,0,1.07,2.14,0,6.42,0,17.12,17.12,1.07,7.49,1.07,0,1.07,0,2.14,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,0,0,0,0,5.35,2.68,5.35,4.02,0,4.02,0,0,4.02,1.34,0,0,0,0
3Month,0,0.32,1.92,0,0,0,0.64,0.32,0.32,0.32,1.92,0,0.64,0,0,0,0,0,0,1.6,0,0,0,0,0.32,0.32
22Month,0,0.55,1.64,0,0,0.55,1.64,0,0,0,0,0.55,2.19,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0
