stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,57.21,0,12.26,4.09,0,0,0,0,0,0,0,4.09,0,0,4.09,16.35,384.12,0,0,0,314.65,371.86,0,0,73.56,0,0,0,0,0,0,0,0,0
72hpf,34.23,10.7,0,8.56,7.49,9.63,0,0,0,0,0,0,2.14,0,0,6.42,9.63,284.56,0,2.14,0,66.33,27.81,0,0,452.52,0,0,6.42,1.07,0,3.21,0,0,0
21Day,133.85,8.03,0,26.77,1.34,22.76,1.34,0,1.34,0,2.68,0,21.42,4.02,1.34,13.39,20.08,643.83,1.34,30.79,1.34,49.53,28.11,0,0,475.18,24.09,1.34,8.03,2.68,2.68,9.37,2.68,0,10.71
3Month,0.32,0.96,0.64,3.52,0,0,0.32,0.32,0.32,0,4.16,0.64,0.32,0.96,0,0.64,2.88,20.16,3.52,0.64,0.32,0.32,0,0.32,0.32,0.64,0.32,1.92,0,0,0,0,12.16,0.64,0.96
22Month,0,2.73,0,1.09,0,0,0.55,0,0,1.09,20.23,1.09,0,1.64,0,0.55,4.37,17.49,1.64,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0.55,3.83,0,0
