stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,8.17,4.09,36.78,0,0,4.09,0,36.78,1017.51,0,0,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,4.28,1.07,8.56,1.07,0,0,0,0,0,0,0,4.28,11.77,1.07,8.56,0,1.07,0,0,538.1,399.03,1.07,7.49,0,0,43.86,0,1.07,1.07,0,0
21Day,1.34,1.34,14.72,0,6.69,0,0,0,0,0,0,0,2.68,1.34,1.34,0,10.71,0,0,4.02,0,129.84,133.85,1.34,4.02,9.37,0,32.12,2.68,4.02,1.34,0,2.68
3Month,0,0.32,4.16,0,0,0,0.96,0,0,0,3.84,0,1.28,0,3.52,0,4.16,0.64,0,0.32,0.32,0,2.24,0,0,0,2.24,1.28,0,0,0,0.64,0.96
22Month,0,0.55,1.64,0,0,0,1.09,3.28,1.09,0,34.99,0.55,2.73,0,0,1.09,4.37,0,0,0,0,1.09,2.19,0,0,0.55,3.28,0.55,0,0,0,0,0
