stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,2.68,1.34,1.34,0,0,0,2.68,9.37,68.27,0,2.68,0,0,0,1.34,2.68,1.34,0,0,0
3Month,0,0.96,0,0,0.64,2.88,0.64,0,1.28,21.12,0.64,0,0.32,0,0,0,0,0,0.32,0.64,0.32
22Month,0,1.09,0,0,0.55,7.65,0,0,0.55,8.75,0,0.55,0,0.55,0.55,0,0,0,0,0,0
