stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,49.04,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,10.7,5.35,1.07,0,0,0,0,0,0,0,79.16,0,10.7,0,0,0,7.49,2.14,1.07,0,14.98,0,0,2.14,3.21,0,0,0
21Day,1.34,0,0,9.37,1.34,0,1.34,0,0,0,0,0,0,8.03,0,30.79,0,0,0,4.02,5.35,0,0,1.34,1.34,0,0,1.34,0,0,0
3Month,0.32,0.32,0,8.32,0,0,0,0.64,0.64,0,8.64,0.64,0.64,27.84,0.64,6.4,0,0,0.64,0.32,0,0.32,0.64,0,0,6.4,0,0.64,1.28,5.12,0.64
22Month,0,0.55,0.55,6.56,0,0,0,0,5.47,0.55,43.19,0.55,5.47,3.83,1.09,2.73,2.73,0.55,0,0,0,0,0.55,0,0,1.64,0,0,0,0,0
