stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,0,0,0,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,1.28,18.88,1.28,1.28,2.88,9.6,1.6,3.84,2.88,0.96,2.88,2.56,0.96,1.28,0,0.32,1.28,5.44,0.32,0.32,0.96,348.42,1.6
22Month,0,0,0,2.19,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0
