stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,73.56,12.26,0,2333.34,0,8.17,0,0,0,0,8.17,0,0,0,0,36.78,629.31,40.86,155.28,0,0,0,0,241.1,4752.49,0,0,20.43,0,0,0,0,0,24.52,0,0,0
72hpf,46,1.07,0,471.78,7.49,24.61,0,0,0,0,0,0,0,4.28,0,19.26,426.85,2.14,48.14,0,2.14,4.28,1.07,3476.82,527.41,6.42,0,100.56,1.07,0,98.42,1.07,1.07,3.21,0,0,0
21Day,17.4,0,8.03,269.05,0,18.74,0,4.02,0,1.34,0,2.68,0,25.43,5.35,4.02,93.7,4.02,53.54,0,1.34,2.68,0,827.21,321.25,1.34,0,155.27,42.83,0,46.85,1.34,12.05,6.69,0,0,12.05
3Month,0,0.32,0,24.96,0,0,0.32,0.32,1.92,1.92,0,5.44,6.4,9.28,1.28,0.64,16.64,2.24,16,0.32,0.32,1.28,1.28,0.96,0.32,0.32,0,0.32,0,4.48,0.32,0,0,0,0.32,0.64,5.76
22Month,0,4.37,1.09,24.6,0,0,0,0,0.55,4.37,0,41,2.73,19.68,1.64,0.55,24.05,14.76,53.03,0,1.64,0.55,0.55,1.64,1.64,0,0.55,0,0,5.47,2.19,0,0,0,0,0,2.73
