stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,24.52,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,0,0,0,0.32,0.32,1.6,0,0,0,0,0.32,0.64
22Month,0,0.55,1.09,0.55,3.83,0,0,0.55,0,0,0,0,0.55
