stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,36.78,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,5.35,1.34,0,0,0,0,0
3Month,0.32,6.4,0.64,0,0,0,2.24,0.32,1.6,0.32,0.32,0.64,0.32,0,38.07,0.32,0,0,1.6,0,6.4,0.96,0.64
22Month,0,2.19,0.55,1.09,1.09,0,49.2,0.55,0.55,0,0,1.09,1.64,1.09,8.2,0,0.55,0,2.19,0,13.67,0,0
