stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,93.99,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,5.35,4.28,0,0,0,0,0,0,0,0,0,1.07,10.7,1.07,5.35,0,1.07,0,414.01,74.89,0,0,7.49,0,0,7.49,0,2.14,0,0,0
21Day,2.68,0,0,4.02,2.68,0,0,0,0,0,2.68,0,0,0,0,2.68,0,6.69,0,0,1.34,171.33,33.46,0,1.34,6.69,9.37,0,1.34,2.68,1.34,0,0,2.68
3Month,0,0.32,0.32,3.52,0,0,0.32,0.32,0.64,0,4.16,1.6,0.64,1.6,0,1.28,1.6,8.96,7.68,0,0.64,3.52,2.24,0.32,0,0.32,0.32,9.6,0,0,0,0.96,2.24,1.28
22Month,0.55,0.55,0,1.09,0,1.64,0,0,1.09,0.55,16.95,0.55,0,2.73,0,0.55,2.19,25.69,0.55,0,0,1.09,0,0.55,0,0.55,0.55,39.91,0,0,0,0,0,0.55
