stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,12.26,0,0,0,0,12.26,0,0,0,4.09,0,4.09,0,8.17,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,7.49,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,1.34,0,0,0,0,0,0,2.68,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0
3Month,0,0,9.6,0,0.64,0.32,0.64,0,3.2,0.64,0,1.6,0.96,0.96,1.92,1.28,0.32,0,0.64,0,0,0.32,0,0,0.64,32.31,0,0,0.32,0.32,2.24,1.28
22Month,0.55,0.55,6.56,0,1.09,2.19,1.64,0,241.62,1.09,0,3.83,0,0.55,4.37,2.19,0,4.37,0,0,0.55,0,0.55,0.55,0,8.75,0,0,0.55,0,0,2.19
