stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,4.28,0,0,0,0,0,3.21,0,47.07,0,0,1.07,4.28,26.74,0,12.84,0,0,1.07,2.14,0,0
21Day,25.43,1.34,0,0,0,0,0,0,0,0,1.34,25.43,0,0,0,5.35,9.37,1.34,0,2.68,0,1.34,1.34,0,0
3Month,0,0.32,0.64,0,0,0,0,2.56,0.64,0.32,0,10.88,1.6,0,1.6,0.96,0,0.32,0,0,0.32,0,0.64,0.32,0.32
22Month,0,0,3.28,0,0.55,1.09,4.92,12.03,0,0,1.09,12.03,0,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0
