stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,8.17,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,6.42,0,0,0,0,0,0,0,0,5.35,2.14,0,9.63,0,0,0,1.07,25.67,12.84,0,0,4.28,0,0,11.77,0,0,0,0,0
21Day,0,0,0,6.69,2.68,2.68,0,0,0,4.02,0,0,2.68,0,2.68,0,9.37,0,0,1.34,5.35,6.69,8.03,0,0,2.68,0,0,2.68,1.34,0,0,0,0
3Month,0.32,0.64,1.6,19.84,1.28,0,0.64,0.64,1.6,204.77,3.2,0,5.76,6.08,3.84,1.92,1.6,0.96,0.64,2.56,125.1,4.8,0.32,1.92,0.32,0.32,4.8,18.88,0.32,0,0,1.92,159.33,2.24
22Month,1.64,2.73,1.09,24.6,0.55,0,0.55,1.64,2.19,856.06,2.73,0.55,3.28,2.73,0,3.28,4.37,0,13.67,1.64,16.4,1.09,0,2.19,0.55,0,2.73,21.32,0.55,0.55,0.55,0,1.09,0
