stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,11.77,0,1.07,0,6.42,0,0,0
21Day,1.34,0,0,0,0,0,0,34.8,0,0,0,1.34,0,0,0
3Month,0.64,0,0.32,2.24,0.32,0.32,0.64,4.16,0,0,0,0,3.2,5.76,0.32
22Month,0,0,0.55,4.92,0,0,0,1.09,0,0,0.55,0,4.37,0,0
