stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,3.21,3.21,0,1.07,22.47,5.35,0,4.28,0,1.07,2.14,0,0
21Day,0,0,5.35,1.34,0,2.68,0,4.02,6.69,0,1.34,0,1.34,1.34,0,4.02,0,0,0,1.34,0
3Month,0,0.32,0.64,0,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0,0.32,3.52,0,0,3.84
