stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,26.74,2.14,2.14,0,0,0
21Day,0,0,0,0,1.34,1.34,10.71,0,0,0,0,0
3Month,0.32,0.32,1.6,0.64,0,0,0,0,0.32,0.64,1.6,0.32
22Month,0,0,1.64,0,0,0.55,0.55,0,0,0,1.64,0
