stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,12.26,0,0,0,4.09,4.09,0,12.26,0,0,0,0,85.81,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,2.14,0,1.07,1.07,0,0,13.91,8.56,0,0,0,0,0,2.14,0,0,0
21Day,2.68,0,4.02,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0.96,8.32,0.32,0.32,0,3.84,0.96,5.12,1.6,3.52,1.6,0.96,0,0,1.28,0,0,0.32,0.32,0,0.32,61.75,0.32,1.28,75.83,0.96
22Month,0,0.55,0,0,0.55,0,1.64,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,11.48,0,0,0.55,0
