stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,4.09,0,98.07,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,3.21,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,1.07,1.07,2.14,0,0,1.07,0,0,7.49,1.07,0,0
21Day,0,2.68,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0.64,22.72,0.64,0,0,0.32,0.96,7.36,0.64,0.32,2.88,3.84,0.64,1.28,1.6,0.32,0,0.96,2.56,1.6,0,0.32,0.32,0,1.6,59.51,0.32,0.32,396.42,0.96
22Month,0,4.92,0,0,0,0,0.55,1.09,0,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55,15.85,0,0,3.28,0
