stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,4.28,3.21,3.21,0,1.07,0,0,0,0
21Day,2.68,4.02,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,2.56,0.32,0.32,0.32,5.12,0.32,0.64,0.32,1.6,1.92,1.28,0.96,0,0.32,1.28,0,0,1.28,0,0.32,0.64,17.6,0.32
22Month,0,1.09,0,0,0,3.28,0,0,1.09,0,0,0,0.55,0,0,0.55,0,0,1.09,0.55,0,0,0,0
