stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,0,0,0,0,0,0,0,4.09,0,4.09,40.86,0,0,0,0,8.17,261.53,0,0,0,24.52,0,0,0,0,4.09,0,0,0
72hpf,0,26.74,1.07,3.21,0,0,0,0,0,0,0,33.16,0,24.61,0,0,0,0,22.47,63.12,0,3.21,0,12.84,0,0,12.84,0,7.49,0,0,0
21Day,0,8.03,0,1.34,0,0,0,0,0,0,0,2.68,0,12.05,0,0,1.34,0,6.69,28.11,0,2.68,0,9.37,1.34,0,6.69,1.34,4.02,0,0,0
3Month,0,11.2,0,0,0,1.6,0,3.2,0.96,1.28,0.32,9.28,0.96,15.04,5.44,0,0.64,0.64,0,1.6,0.32,5.44,0,1.28,0,0.32,0.96,0,0.96,0.32,1.6,1.6
22Month,0.55,6.01,0,0,0.55,1.09,37.72,4.92,2.19,0,0.55,4.37,1.09,16.4,1.09,1.09,0.55,0,0,0,0.55,0,1.64,0,0,0.55,0,0,0,1.09,0,0
