stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0,0,5.35,0,1.07,0,0,67.4,6.42,0,3.21,0,0,1.07,0,0,0,0,0
21Day,1.34,2.68,6.69,0,0,0,0,0,0,1.34,0,1.34,4.02,0,10.71,0,0,25.43,2.68,2.68,2.68,1.34,0,2.68,1.34,1.34,0,0,1.34
3Month,0,0,2.56,0,0,0,0,3.2,0.32,0,0.32,0.32,0.64,0.32,0,0.32,0,0,0,0,0.32,0,0.96,0,0,0,0.64,0.96,0.64
22Month,0,0,1.64,0,0,0.55,0.55,9.84,0,0,0,0,0,0,1.09,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0
