stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,T_cell
72hpf,0,1.07,1.07,0,4.28,2.14,4.28,1.07,6.42,1.07,0,0,0
21Day,1.34,0,36.14,0,1.34,1.34,4.02,1.34,2.68,1.34,4.02,1.34,1.34
3Month,0,0,2.88,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0,14.21,0.55,0.55,0,0,0.55,0,0,0,0,0
