stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0
3Month,0.32,42.23,0.96,8.32,0.32,0.64,0.96,2.24,6.4,3.2,0.96,3.2,1.92,2.88,4.16,2.24,0.96,1.92,0.32,0,0.64,0.32,0,1.6,2.88,0.32,460.73,2.56,2.24
22Month,1.09,28.43,0,0,0,0,0,0.55,11.48,1.09,1.64,1.09,0,0.55,1.09,1.09,0,0.55,0,0,0,0,0,0,2.19,0.55,55.21,0,0.55
