stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,20.43,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,49.04,53.12,0,0,0,0,16.35,138.94,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,0,0,0,0,0,0,0,0,1.07,0,0,3.21,16.05,0,0,0,0,0,9.63,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,0,2.68,0,0,1.34,0,1.34,1.34,0,1.34,0,1.34,1.34,0,0,0
3Month,0,1.28,6.72,0,0.32,0.32,0.32,0.96,0,0,11.52,0.64,0,0.32,0.96,1.92,0.64,6.08,1.28,0,0.64,0.32,0.32,0.32,0,0,3.2,0,0,0,0.32,0.64
22Month,0,6.01,6.56,0,0,0,1.64,1.09,2.73,0,19.13,1.64,0,1.09,0,0,3.28,3.28,0.55,0.55,0,0,0,0.55,1.09,0,0.55,0.55,0,0.55,0,0.55
