stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,12.26,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,11.77,0,0,0,0,0,0,0,1.07,0,2.14,10.7,0,6.42,0,0,0,0,6.42,4.28,0,0,3.21,0,0,1.07,0,0,0,0
21Day,6.69,0,24.09,1.34,0,0,0,0,0,0,0,0,1.34,1.34,2.68,10.71,0,0,0,0,6.69,0,0,0,2.68,1.34,0,0,0,0,0,0
3Month,0,0.96,22.08,0,0.64,1.28,0.64,0,4.48,1.28,0,1.92,0.96,2.88,2.88,14.4,1.28,0,0.96,0.32,0.64,0.32,0.32,0.32,0.32,0,6.4,0.32,0.32,1.28,1.92,0.32
22Month,0,1.64,3.83,0,0,1.64,0.55,0,7.65,0,0.55,0.55,0,0.55,2.19,2.73,0,2.19,1.09,0,0,0,0,0.55,0,0,0,0,0.55,0.55,0,0
