stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,12.26,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,3.21,17.12,0,0,0,0
21Day,0,0,1.34,4.02,4.02,0,2.68,0,74.96,1.34,0,1.34,0
3Month,0,0,1.6,0.32,0,0.32,0,0,2.88,0,0.32,0,1.6
22Month,0.55,0.55,4.92,0,0.55,0,0,0,0,0,0,0,0
