stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,12.26,0,4.09,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,3.21,0,0,1.07,0,0,0,0,0,0
21Day,2.68,0,0,0,0,5.35,0,0,1.34,1.34,0,0,2.68,0,0
3Month,2.56,0,2.24,0.32,0.64,0.64,0.32,0.64,0,0.64,0.32,0.96,0,0.64,0.64
22Month,0.55,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0.55
