stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,8.17,0,20.43,0,24.52,12.26,16.35,0,0,4.09,0,0,0,73.56,53.12,0,0,4.09,4.09,371.86,4.09,8.17,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,6.42,2.14,14.98,7.49,0,0,0,2.14,0,3.21,4.28,1.07,18.19,1.07,0,0,33.16,42.79,0,11.77,1.07,0,5.35,0,1.07,1.07,0
21Day,1.34,1.34,1.34,16.06,1.34,216.84,140.55,0,0,0,10.71,5.35,0,13.39,1.34,9.37,0,2.68,0,29.45,12.05,2.68,2.68,6.69,0,4.02,1.34,2.68,0,2.68
3Month,0,0,0,0.32,0,0,0.32,0,0.32,0.96,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0
22Month,0,0,0,0.55,0,0,1.09,1.09,4.37,0,2.73,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
