stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,53.12,0,0,0,0,24.52,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,29.95,0,0,0,0,0,0,0,0,0,0,44.93,25.67,0,1.07,0,0,13.91,7.49,4.28,0,0,1.07,0,0,0,0,0,0,0,0
21Day,4.02,0,25.43,56.22,6.69,0,0,0,0,0,1.34,0,1.34,0,78.97,12.05,149.92,4.02,0,1.34,9.37,12.05,4.02,0,0,1.34,2.68,2.68,1.34,1.34,1.34,0,0,1.34
3Month,0.64,0.64,11.84,67.83,0,0,6.08,3.2,0,0,10.56,2.88,0.96,4.16,156.46,8.64,135.66,4.48,1.92,0.64,86.71,4.8,0,2.24,0,0.96,1.28,16.96,0.32,0,0,1.28,10.88,2.24
22Month,0,1.09,3.83,21.32,0,0.55,8.75,2.19,0.55,0,17.49,2.19,1.09,2.19,44.28,5.47,68.33,1.64,0,7.11,3.83,1.09,0,3.83,0.55,0,0.55,34.44,0,0,0,0.55,0,0.55
