stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,59.91,2.14,0,0
21Day,0,1.34,2.68,0,0,69.6,1.34,1.34,1.34
3Month,1.28,0.64,0,0.32,0.32,7.68,0,0,0
