stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,12.26,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,0,0,0,0,0,1.07,0,1.07,10.7,0,7.49,2.14,0,0,369.08,36.37,0,0,5.35,2.14,0,6.42,0,1.07,0,0,0
21Day,1.34,0,0,1.34,0,0,0,2.68,0,0,2.68,0,2.68,1.34,9.37,0,1.34,0,108.42,12.05,0,1.34,4.02,8.03,0,2.68,1.34,0,0,0,1.34
3Month,0,0,0.32,4.48,1.92,1.28,0,66.23,1.92,0,3.2,1.28,3.84,0.96,3.52,0,0,0.32,4.16,0,0.96,0.64,0.32,0.96,4.16,0.64,0,0,0.32,3.52,0.96
22Month,0,1.09,1.09,7.11,2.19,2.73,3.83,135.57,0.55,0.55,6.56,0.55,0,4.92,2.19,6.01,0.55,0,1.09,0,0.55,1.09,0.55,0.55,1.09,0,0.55,0,0.55,0,0.55
