stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0
72hpf,2.14,2.14,3.21,1.07,1.07,0,2.14,3.21,0,10.7,1.07,28.88,28.88,3.21,0,1.07,3.21
21Day,2.68,1.34,4.02,0,1.34,1.34,0,4.02,1.34,10.71,0,8.03,6.69,5.35,2.68,0,0
