stage,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,44.95,0
72hpf,1.07,0,0,1.07,0,0
21Day,1.34,0,0,0,0,1.34
22Month,0,1.09,0.55,0,0,0
